GID,tif,min,max,mean,count,sum,std,median,percentile_90
1992_29,1992_29_rbr_w_offset.tif,-960.3508911132812,438.95184326171875,39.50871513944223,42168,1666003.5,190.59397506482716,59.893653869628906,287.28533935546875
1991_58,1991_58_rbr_w_offset.tif,-1055.72265625,545.7489013671875,185.39781965456564,406908,75439856.0,127.55841085903917,194.55685424804688,334.29473876953125
2014_937,2014_937_rbr_w_offset.tif,-249.8511505126953,564.050537109375,306.6264197992644,80205,24592972.0,128.29087282653515,329.1883239746094,456.48541259765625
1989_888,1989_888_rbr_w_offset.tif,-584.58984375,489.5228271484375,105.19070613018343,103961,10935731.0,183.9606701181468,147.36793518066406,317.9372863769531
2021_2311,2021_2311_rbr_w_offset.tif,-68.89356994628906,613.4920043945312,316.9757144537222,8503,2695244.5,171.49799465602936,350.5180358886719,517.7747192382812
2002_462,2002_462_rbr_w_offset.tif,-718.7860717773438,565.3643798828125,28.59405267918183,235501,6733928.0,148.97798909924776,-48.56344985961914,281.2387390136719
2012_1053,2012_1053_rbr_w_offset.tif,-29.739009857177734,587.4888305664062,287.81698895027625,1810,520948.75,140.1113367728428,272.05047607421875,506.6323547363281
1987_49,1987_49_rbr_w_offset.tif,-215.22987365722656,601.1165161132812,299.98234533933635,23988,7195976.5,127.5681005061252,308.39886474609375,462.7838439941406
1987_77,1987_77_rbr_w_offset.tif,-325.2298583984375,543.4741821289062,209.69977617394483,21892,4590747.5,151.46490054421344,188.48304748535156,425.2249450683594
1990_22,1990_22_rbr_w_offset.tif,-129.23023986816406,538.5556030273438,239.2369937888199,40250,9629289.0,129.3377308879232,250.29660034179688,400.9596862792969
1989_1107,1989_1107_rbr_w_offset.tif,-463.77874755859375,603.2876586914062,291.79779276517473,16310,4759222.0,161.59821326289656,320.5045166015625,454.14324951171875
2019_607,2019_607_rbr_w_offset.tif,-50.755409240722656,599.4509887695312,304.33851156069363,6228,1895420.25,187.5652351667798,360.260009765625,514.6903686523438
2017_1564,2017_1564_rbr_w_offset.tif,-216.21109008789062,387.594970703125,-17.532562376482215,1012,-17742.953125,124.92378316262378,-91.8653793334961,167.8488311767578
2015_1136,2015_1136_rbr_w_offset.tif,-318.5598449707031,395.0060119628906,86.32514403292181,12150,1048850.5,112.747949692477,82.71436309814453,236.86984252929688
