GID,mean_ndvi
2020_541,0.638887465767882
2020_528,0.7533322896246376
2020_533,0.6496095251131403
2020_537,0.7557717622381461
2020_347,0.7656885715367618
2021_1197,0.7336062876727927
2021_1968,0.7672745198956729
2021_1619,0.7456635899440756
2021_2317,0.742238290516556
2021_1290,0.7472964533843016
2021_2309,0.7341354638482348
2023_1625,0.6276540198785261
2023_1634,0.7142151001408686
2023_1640,0.6721233609269938
2023_1614,0.5025993728695156
2023_1617,0.6569473975972757
2023_1622,0.5768913760687037
2023_1626,0.7397749795816957
2023_1624,0.7138285722372755
2024_636,0.7211073191830227
2024_650,0.7043704409886221
2024_958,0.7372792073465796
1986_43,0.6101884657056212
1986_58,0.6297533796757304
1986_57,0.6231792958498412
1986_32,0.711992900565814
1987_49,0.6364351248237091
1987_70,0.6187186582786639
1987_77,0.5876412210542837
1987_76,0.6395160093816976
1987_29,0.6990077553557494
1987_33,0.6986006624862227
1987_66,0.6430195636854763
1988_83,0.6102748868316302
1988_86,0.6203361486242336
1988_116,0.6445891436355166
1988_76,0.6707558791683611
1988_47,0.6951804745652551
1988_154,0.560295318478383
1988_98,0.6786459762226037
1988_124,0.7276286151067214
1988_139,0.7148389810308036
1988_93,0.6884402516456596
1988_101,0.7056298060094404
1989_1071,NA
1989_1124,0.26875740127954295
1989_1081,0.30530432959692433
1989_948,0.6150399442520131
1989_985,0.6258920828875417
1989_1342,0.577001821099864
1989_1072,0.5896532837700503
1989_831,0.5975287007287177
1989_1166,0.6747123541472398
1989_1041,0.567554352090221
1989_1123,0.5961946380528401
1989_1147,0.6246026434451672
1989_1190,0.6497522634280932
1989_854,0.6070528248407516
1989_1112,0.6049634814564255
1989_928,0.6840722852253903
1989_1365,0.6777256816080075
1989_1155,0.6138330114596777
1989_965,0.6545473648990632
1989_1236,0.6731616133601425
1989_1069,0.638099823370078
1989_1004,0.604339663085445
1989_1005,0.6741191165781675
1989_1266,0.6900817830395636
1989_1033,0.6047318630083831
1989_878,NA
1989_1234,NA
1989_1025,0.7308761138307769
1989_1274,0.6151391060071595
1989_841,0.6838905990892529
1989_1249,0.68412013234543
1989_1024,NA
1989_947,NA
1989_1368,0.7358752516951726
1989_1352,0.7009749533621333
1989_1219,0.7189948531370888
1989_874,0.7249486048205652
1989_1118,0.7386924575969817
1989_1305,0.7032465944538058
1989_1305,0.6988330302930402
1989_1107,0.695313559248929
1989_1109,NA
1989_1047,0.6710529439495009
1989_1075,0.7294884863363975
1989_894,0.5783236078134719
1989_1377,0.6424850196555196
1989_1319,0.6119624053921172
1989_1291,NA
1989_1078,0.6547614719968767
1989_1186,NA
1990_90,0.6836581521580023
1990_79,0.6060400451195997
1990_73,NA
1990_71,0.6893771164408595
1990_39,0.6562320754610453
1990_24,0.7337863980428195
1990_100,0.594702065577163
1990_61,0.6007049100233679
1990_9,0.7165714243901181
1990_98,0.5481485254175532
1990_37,0.685077971846301
1990_27,NA
1990_63,0.6226931681090752
1990_26,0.7464745470482804
1990_22,0.6819361005906454
1991_98,0.6136739331463417
1991_109,0.4695941590650679
1991_87,0.679370010235612
1991_131,0.6607681421013994
1991_70,0.7018741185652275
1991_84,0.606409939817837
1991_56,0.6813798958848865
1991_26,0.7350067355246653
1991_59,0.7053922904188552
1991_67,0.7381089977341042
1991_65,0.7202124898512426
1992_28,0.5928140898567699
1992_34,0.34029083786756753
1992_49,0.5316261732553782
1993_11,0.6381890311034509
1993_26,0.5777148464637176
1994_56,0.6041114633463803
1994_106,0.6196793666784389
1994_79,0.5832864372425492
1994_94,0.589162324824713
1994_87,0.5776373188398972
1994_20,0.6061469150188248
1994_86,0.5900638285814264
1994_33,0.615652925463807
1994_55,0.6355451420448983
1994_109,0.6323872293182905
1994_105,0.6417279851090917
1995_1054,0.5773278326188699
1995_1033,0.5758127103942569
1995_1069,0.5873014808256555
1995_1420,0.6178562884945635
1995_1408,0.5218090356067948
1995_1409,0.6145830841193839
1995_1419,0.5990117152839105
1995_1407,0.6062882213997622
1995_821,0.4771773119463732
1995_779,0.4794741865099328
1995_860,0.5382999873464549
1995_988,0.6131728314765595
1995_807,0.5480895605002774
1995_955,0.6148204769756568
1995_1406,0.6625139539848466
1995_1416,0.6493174815222933
1995_1026,0.6051492532469678
1995_1113,0.5790989753789586
1995_1053,0.6005240584593051
1995_1403,0.6166401769991031
1995_848,0.5705801952198986
1995_1045,0.6605806858289938
1995_902,0.6254613756803729
1995_886,0.6142686033815004
1995_1418,NA
1995_1400,0.7630174485542617
1996_429,0.5629223556062748
1996_507,0.5848338478973922
1996_493,0.5851116106688414
1996_431,0.5506498235363293
1996_438,0.568020929956459
1996_451,NA
1996_460,0.5643292499650213
1996_532,0.6321047638865307
