GID,fwi_90th,dmc_90th,dc_90th,isi_90th,bui_90th,ffmc_90th
1989_881,0.6681827142895185,1.8637284982835913,26.130368864500397,0.08012069704937141,3.210057047718155,43.916535093252165
1989_885,1.4034042987640323,3.1298714608136953,31.90210295072114,0.13137572853381504,4.977176489433216,45.360228188564335
1989_888,0.9543474855094224,2.6570733899130006,27.019751535058013,0.3210470593564333,4.2412967794206615,55.50247984645516
1989_894,1.4825013632805988,3.2901475336853925,26.568926225466853,0.2662800396395988,4.830418922296405,52.841701498601395
1989_905,0.47562610491276214,1.3494865283457587,20.35304074096681,0.02662492671745875,2.3417354241324375,36.73435433251906
1989_920,2.897607851812194,4.483709338222485,38.75315977764418,0.6991705814320796,6.954825474417216,69.80525315364018
1989_922,4.478546567245916,6.581930588196677,56.20352596657495,0.9723900245089194,9.405371216735261,77.49275235027068
1989_926,0.979336589028275,2.910078524358405,23.953528442726604,0.315092172040673,4.376374485411636,55.45673460714717
1989_928,4.461072848782863,7.335987635194448,56.899430293432935,0.3501168948346821,11.08326613934372,53.89337901690697
1989_945,0.6127328574460742,1.8392856201859709,20.131099900465745,0.04070642229753464,2.9918154217590773,40.130261439802496
1989_947,1.286701924694332,2.735734337483301,36.49973691689729,0.35448948970298694,4.510571326975592,55.54774595117601
1989_948,7.0061637862450965,10.16692325079254,73.80387701416018,1.5131719293743566,14.745688110961469,81.5554995332339
1989_964,0.6836884720341855,1.9817465156137168,26.279164968656186,0.1071125912142511,3.2479056107264315,45.87607458651108
1989_965,2.1350097240421437,4.187639912133976,44.188017148067374,0.03131205398232879,6.759470280437023,38.940126523021924
1989_985,7.5954089174254715,11.044537227904069,73.0450591286838,1.6995248495146913,15.664083427494699,82.800271633927
1990_100,0.5750541081464847,1.9412211239160955,16.158502854580835,0.0514174458349482,2.860593381149477,41.73520604725371
1990_11,0.8361631757680041,2.3823809248538717,28.432965393066432,0.35582868427024406,3.8228039236930518,56.07960105073889
1990_18,0.34546565051878503,0.9756902069826069,24.476933975119525,0.022452780726464342,1.6978889832612492,37.01886275378107
1990_19,0.5270024314012667,1.5790509747897445,17.67722094902013,0.10530257465556986,2.553414818358643,45.770730512035726
