GID,NFIREID,fire_id,evi_period_start,evi_period_end,total_pixels,mean_evi,fire_processing_time_seconds,total_processing_time_seconds,avg_processing_time_seconds
2001_314,314,2001_314,2001-05-09,2001-06-09,1494,0.3031545808635331,1.5662357807159424,6863.984381914139,5.826811869197062
2001_288,288,2001_288,2001-05-09,2001-06-09,1176,0.24199426979303224,1.8628461360931396,6863.984381914139,5.826811869197062
2001_363,363,2001_363,2001-05-09,2001-06-09,1840,0.3089484368329855,2.3110158443450928,6863.984381914139,5.826811869197062
2001_380,380,2001_380,2001-06-15,2001-07-15,4894,0.3386635656063558,3.1460001468658447,6863.984381914139,5.826811869197062
2001_383,383,2001_383,2001-06-19,2001-07-19,759,0.43435809670271663,1.681203842163086,6863.984381914139,5.826811869197062
2001_366,366,2001_366,2001-06-19,2001-07-19,331,0.37890177438384265,2.2627789974212646,6863.984381914139,5.826811869197062
2001_382,382,2001_382,2001-06-20,2001-07-20,1145,0.3147915827770489,1.8939290046691895,6863.984381914139,5.826811869197062
2001_265,265,2001_265,2001-06-20,2001-07-20,45501,0.3670607900607054,3.286371946334839,6863.984381914139,5.826811869197062
2001_284,284,2001_284,2001-06-20,2001-07-20,15357,0.38220726962243146,4.8839640617370605,6863.984381914139,5.826811869197062
2001_374,374,2001_374,2001-06-20,2001-07-20,1068,0.3570957527804564,1.7318229675292969,6863.984381914139,5.826811869197062
2001_376,376,2001_376,2001-06-20,2001-07-20,1868,0.32401907628322396,2.2494149208068848,6863.984381914139,5.826811869197062
2002_467,467,2002_467,2002-05-30,2002-06-30,65597,0.3200806420172568,4.953894138336182,6863.984381914139,5.826811869197062
2002_448,448,2002_448,2002-06-01,2002-07-01,34828,0.2775664889399688,3.0775508880615234,6863.984381914139,5.826811869197062
2002_462,462,2002_462,2002-06-02,2002-07-02,231796,0.3155237853326795,6.483419895172119,6863.984381914139,5.826811869197062
2002_732,732,2002_732,2002-06-06,2002-07-06,793,0.36171969571584106,1.9919750690460205,6863.984381914139,5.826811869197062
2002_645,645,2002_645,2002-06-09,2002-07-09,227222,0.3200398942533242,19.376529932022095,6863.984381914139,5.826811869197062
2002_618,618,2002_618,2002-06-11,2002-07-11,14634,0.38922132606406656,3.0880188941955566,6863.984381914139,5.826811869197062
2002_545,545,2002_545,2002-06-12,2002-07-12,9503,0.36093253502412004,2.261229991912842,6863.984381914139,5.826811869197062
2002_512,512,2002_512,2002-06-14,2002-07-14,6156,0.36010753939049195,2.2450928688049316,6863.984381914139,5.826811869197062
2002_513,513,2002_513,2002-06-15,2002-07-15,1683,0.3468176324137889,2.4971179962158203,6863.984381914139,5.826811869197062
2002_599,599,2002_599,2002-06-15,2002-07-15,164889,0.38143017117236616,8.155983924865723,6863.984381914139,5.826811869197062
2002_556,556,2002_556,2002-06-16,2002-07-16,3640,0.368474303646149,2.175034999847412,6863.984381914139,5.826811869197062
2002_570,570,2002_570,2002-06-16,2002-07-16,9914,0.39640710756041325,1.693345069885254,6863.984381914139,5.826811869197062
2002_575,575,2002_575,2002-06-16,2002-07-16,13287,0.35938099052632083,1.613813877105713,6863.984381914139,5.826811869197062
2002_579,579,2002_579,2002-06-17,2002-07-17,4752,0.3218174411847191,2.1201109886169434,6863.984381914139,5.826811869197062
2002_734,734,2002_734,2002-06-18,2002-07-18,969,0.3757925130630341,1.7302470207214355,6863.984381914139,5.826811869197062
2003_717,717,2003_717,2003-05-15,2003-06-15,4467,0.27810098730476046,1.4672226905822754,6863.984381914139,5.826811869197062
2003_898,898,2003_898,2003-05-17,2003-06-17,13176,0.27875174263255037,2.061738967895508,6863.984381914139,5.826811869197062
2003_728,728,2003_728,2003-05-21,2003-06-21,7333,0.2936420946639343,2.5334091186523438,6863.984381914139,5.826811869197062
2003_569,569,2003_569,2003-05-22,2003-06-22,62252,0.3049684534058892,10.03697395324707,6863.984381914139,5.826811869197062
2003_896,896,2003_896,2003-06-05,2003-07-05,0,,2.592741012573242,6863.984381914139,5.826811869197062
2003_891,891,2003_891,2003-06-15,2003-07-15,1505,0.3185684577373811,1.4932188987731934,6863.984381914139,5.826811869197062
2003_889,889,2003_889,2003-07-16,2003-08-16,4184,0.3615729619442669,2.119229793548584,6863.984381914139,5.826811869197062
2003_893,893,2003_893,2003-07-16,2003-08-16,2374,0.3690044840827074,1.6504640579223633,6863.984381914139,5.826811869197062
2003_537,537,2003_537,2003-07-17,2003-08-17,5208,0.34552689913485,2.092252016067505,6863.984381914139,5.826811869197062
2003_585,585,2003_585,2003-07-17,2003-08-17,17129,0.26169944417021146,3.0317468643188477,6863.984381914139,5.826811869197062
2003_892,892,2003_892,2003-07-20,2003-08-20,1133,0.3775812134520014,1.236098051071167,6863.984381914139,5.826811869197062
2005_472,472,2005_472,2005-07-08,2005-08-08,1004,0.3322300895455101,1.9128098487854004,6863.984381914139,5.826811869197062
2006_892,892,2006_892,2006-06-14,2006-07-14,0,,1.374556064605713,6863.984381914139,5.826811869197062
2006_886,886,2006_886,2006-06-15,2006-07-15,966,0.3842267960361813,1.3959448337554932,6863.984381914139,5.826811869197062
2006_891,891,2006_891,2006-07-31,2006-08-31,4690,0.309811759670692,2.148864984512329,6863.984381914139,5.826811869197062
2006_888,888,2006_888,2006-07-31,2006-08-31,2641,0.26483849468080134,3.3723812103271484,6863.984381914139,5.826811869197062
2006_894,894,2006_894,2006-08-09,2006-09-09,423,0.2909186968399448,1.4000279903411865,6863.984381914139,5.826811869197062
2007_993,993,2007_993,2007-05-13,2007-06-13,747,0.22382948413476966,1.9670379161834717,6863.984381914139,5.826811869197062
2009_367,367,2009_367,2009-05-16,2009-06-16,16238,0.22265932739083816,2.359722137451172,6863.984381914139,5.826811869197062
2009_1240,1240,2009_1240,2009-05-16,2009-06-16,1421,0.2533036704476348,1.4479429721832275,6863.984381914139,5.826811869197062
2009_1217,1217,2009_1217,2009-05-16,2009-06-16,1698,0.22421639265981014,2.113210916519165,6863.984381914139,5.826811869197062
2009_1239,1239,2009_1239,2009-05-16,2009-06-16,0,,1.6089651584625244,6863.984381914139,5.826811869197062
2009_1244,1244,2009_1244,2009-05-17,2009-06-17,0,,1.7823469638824463,6863.984381914139,5.826811869197062
2009_410,410,2009_410,2009-05-19,2009-06-19,7820,0.28820460219136923,1.7293550968170166,6863.984381914139,5.826811869197062
2010_532,532,2010_532,2010-04-16,2010-05-16,3322,0.23120327934134893,2.0985829830169678,6863.984381914139,5.826811869197062
2010_877,877,2010_877,2010-05-20,2010-06-20,457,0.36458146443238676,1.488710880279541,6863.984381914139,5.826811869197062
2010_878,878,2010_878,2010-05-25,2010-06-25,1685,0.3504150717672384,1.754823923110962,6863.984381914139,5.826811869197062
2010_883,883,2010_883,2010-05-25,2010-06-25,1241,0.3720970270196447,2.296638011932373,6863.984381914139,5.826811869197062
2010_475,475,2010_475,2010-06-18,2010-07-18,1908,0.35635184810454423,1.9944171905517578,6863.984381914139,5.826811869197062
2010_487,487,2010_487,2010-06-18,2010-07-18,5762,0.37195838311648916,2.1197400093078613,6863.984381914139,5.826811869197062
2010_882,882,2010_882,2010-06-23,2010-07-23,3227,0.3435844921087114,1.8027410507202148,6863.984381914139,5.826811869197062
2011_739,739,2011_739,2011-06-01,2011-07-01,350,0.317849511042185,1.8757209777832031,6863.984381914139,5.826811869197062
2011_366,366,2011_366,2011-06-05,2011-07-05,5830,0.3150825999597429,2.1830661296844482,6863.984381914139,5.826811869197062
2011_453,453,2011_453,2011-06-18,2011-07-18,4021,0.3203981024298742,3.3199820518493652,6863.984381914139,5.826811869197062
2012_1061,1061,2012_1061,2012-06-03,2012-07-03,1448,0.2999249979530754,1.71976900100708,6863.984381914139,5.826811869197062
2012_724,724,2012_724,2012-06-11,2012-07-11,847,0.3856658407289978,2.6327061653137207,6863.984381914139,5.826811869197062
2012_1052,1052,2012_1052,2012-06-13,2012-07-13,127,0.29471738818901383,1.7733240127563477,6863.984381914139,5.826811869197062
2012_672,672,2012_672,2012-06-14,2012-07-14,0,,1.4544429779052734,6863.984381914139,5.826811869197062
