GID,date,cmi_anomaly
1986_40,1985-07-01,30.971253051600154
1986_40,1985-08-01,118.42375503336775
1986_40,1985-09-01,70.94702393420569
1986_40,1985-10-01,21.6168843055744
1986_40,1985-11-01,9.510490613000936
1986_40,1985-12-01,1.1115591229340964
1986_40,1986-01-01,2.8619019443254885
1986_40,1986-02-01,0.529584497850049
1986_40,1986-03-01,18.516665390332317
1986_40,1986-04-01,69.94337026594022
1986_43,1983-06-01,-64.39930976134136
1986_43,1983-07-01,66.28822218185756
1986_43,1983-08-01,25.295889307279186
1986_43,1983-09-01,-17.390746622254486
1986_43,1983-10-01,34.00711369013247
1986_43,1983-11-01,74.77709175854196
1986_43,1983-12-01,-6.412365620144158
1986_43,1984-01-01,-3.685160677876407
1986_43,1984-02-01,3.2786816647803825
1986_43,1984-03-01,-13.828362726117009
1986_43,1984-04-01,-37.901544031200004
1986_43,1984-05-01,-24.19388921880068
1986_43,1984-06-01,46.585058450743816
1986_43,1984-07-01,22.973616821567706
1986_43,1984-08-01,-18.42305524397811
1986_43,1984-09-01,75.81289596314738
1986_43,1984-10-01,28.08424779911937
1986_43,1984-11-01,50.61659654525283
1986_43,1984-12-01,13.54383778540122
1986_43,1985-01-01,-5.887441128440997
1986_43,1985-02-01,-13.134408927311679
1986_43,1985-03-01,8.219201993457805
1986_43,1985-04-01,76.51791482181406
1986_43,1985-05-01,31.92135196362526
1986_43,1985-06-01,113.71178810469212
1986_43,1985-07-01,57.42333522391387
1986_43,1985-08-01,77.01584435477427
1986_43,1985-09-01,113.82912120466048
1986_43,1985-10-01,29.010257862110375
1986_43,1985-11-01,24.35684340272002
1986_43,1985-12-01,-4.14935204755653
1986_43,1986-01-01,-2.616854522373618
1986_43,1986-02-01,-12.62165283604691
1986_43,1986-03-01,18.00246970716555
1986_43,1986-04-01,20.734541918508757
1986_43,1986-05-01,-116.21942295226276
1986_45,1983-06-01,-70.84626214324983
1986_45,1983-07-01,53.013394013000756
1986_45,1983-08-01,20.0625800196076
1986_45,1983-09-01,-5.433125781496422
1986_45,1983-10-01,41.44632010515193
1986_45,1983-11-01,71.61814885472404
1986_45,1983-12-01,-5.260040736118011
1986_45,1984-01-01,-2.44874081470536
1986_45,1984-02-01,3.270913069120212
1986_45,1984-03-01,-12.50667400343589
1986_45,1984-04-01,-36.36995619120568
1986_45,1984-05-01,-16.55393099569227
