GID,AOU
2001_366,FALSE
1991_56,FALSE
1996_532,FALSE
2001_371,FALSE
1994_73,FALSE
1989_1186,FALSE
2001_374,FALSE
2001_376,FALSE
1991_70,FALSE
1991_73,FALSE
1989_1233,FALSE
1998_561,FALSE
1998_566,FALSE
1998_578,FALSE
1991_98,FALSE
1991_102,FALSE
2000_335,FALSE
2000_367,FALSE
1989_1274,FALSE
1991_109,FALSE
1989_831,FALSE
1996_459,FALSE
2000_539,FALSE
2000_540,FALSE
2000_542,FALSE
2000_543,FALSE
1989_1305,FALSE
1990_22,FALSE
1999_389,FALSE
1999_390,FALSE
1999_391,FALSE
1989_1325,FALSE
1999_429,FALSE
1999_430,FALSE
1990_37,FALSE
1989_920,FALSE
1996_519,FALSE
1989_1352,FALSE
1990_39,FALSE
1994_36,FALSE
1999_444,FALSE
1994_45,FALSE
1990_48,FALSE
1989_1166,TRUE
1989_1169,FALSE
1995_967,FALSE
1989_1465,FALSE
1990_72,FALSE
1996_558,FALSE
1996_561,TRUE
1986_58,FALSE
1996_411,FALSE
1996_414,FALSE
1989_1242,FALSE
1998_581,FALSE
1990_99,FALSE
1990_100,FALSE
1995_1415,FALSE
1998_595,FALSE
1995_1400,FALSE
1989_1069,FALSE
1989_841,FALSE
1998_612,FALSE
1989_1291,FALSE
1995_1407,FALSE
1989_864,FALSE
1989_1084,FALSE
1995_1410,FALSE
1995_1412,FALSE
1995_1414,FALSE
1989_1041,FALSE
1995_1416,FALSE
1995_1417,FALSE
1989_894,FALSE
1998_892,FALSE
1989_1123,FALSE
1998_894,FALSE
1989_1146,FALSE
1989_1147,FALSE
1989_1357,FALSE
1989_1155,FALSE
1991_44,FALSE
1989_1039,FALSE
1998_885,FALSE
1986_43,FALSE
1998_871,FALSE
1989_1190,TRUE
1994_87,FALSE
1998_858,FALSE
1989_1016,FALSE
1991_67,FALSE
1986_57,FALSE
1990_79,FALSE
1996_568,TRUE
1989_1243,FALSE
1998_884,FALSE
1989_1249,FALSE
1998_888,FALSE
1998_889,FALSE
1998_872,FALSE
1989_806,FALSE
1995_1164,FALSE
1996_513,FALSE
1995_1405,FALSE
1989_1078,FALSE
1989_1081,FALSE
1989_1305,FALSE
1989_1088,FALSE
1996_528,FALSE
1996_490,FALSE
1989_1255,FALSE
1996_494,FALSE
1992_36,FALSE
1998_891,FALSE
1989_1195,FALSE
1989_1213,FALSE
1989_1337,FALSE
1995_1420,FALSE
1987_77,FALSE
1992_50,FALSE
1990_47,FALSE
1990_90,FALSE
1995_1026,FALSE
1996_493,FALSE
1991_87,FALSE
1989_1266,FALSE
1986_49,FALSE
1989_1054,FALSE
1995_1418,FALSE
1989_1219,FALSE
1990_73,FALSE
1986_56,FALSE
1995_1009,FALSE
1995_1018,FALSE
1995_1097,FALSE
1989_1302,FALSE
1990_98,FALSE
1989_871,FALSE
1989_1320,FALSE
1991_108,FALSE
1990_27,FALSE
1986_54,FALSE
1987_70,FALSE
