GID,tif,median,percentile_95
2012_671,2012_671_rbr_w_offset.tif,283.025146484375,530.1721801757812
2012_697,2012_697_rbr_w_offset.tif,323.4361267089844,493.5953063964844
1989_1255,1989_1255_rbr_w_offset.tif,116.53675079345703,420.6750183105469
1998_855,1998_855_rbr_w_offset.tif,259.64105224609375,409.7890930175781
2024_473,2024_473_rbr_w_offset.tif,318.5032653808594,487.1046142578125
1990_74,1990_74_rbr_w_offset.tif,289.8050231933594,468.1847229003906
1989_1352,1989_1352_rbr_w_offset.tif,308.29791259765625,440.2696533203125
2012_776,2012_776_rbr_w_offset.tif,79.3419418334961,207.03729248046875
2024_495,2024_495_rbr_w_offset.tif,352.30377197265625,505.899658203125
1996_635,1996_635_rbr_w_offset.tif,181.5379638671875,435.667724609375
2002_730,2002_730_rbr_w_offset.tif,242.1324462890625,387.060302734375
2012_1060,2012_1060_rbr_w_offset.tif,297.4423522949219,492.4348449707031
1989_1033,1989_1033_rbr_w_offset.tif,254.33811950683594,427.56317138671875
2017_2120,2017_2120_rbr_w_offset.tif,286.1300354003906,471.3688049316406
1989_1337,1989_1337_rbr_w_offset.tif,158.94415283203125,388.3139343261719
2016_541,2016_541_rbr_w_offset.tif,283.6725158691406,459.2474365234375
1990_11,1990_11_rbr_w_offset.tif,253.94825744628906,433.68621826171875
2016_599,2016_599_rbr_w_offset.tif,288.81353759765625,493.120849609375
1996_650,1996_650_rbr_w_offset.tif,205.85861206054688,429.7723693847656
1994_110,1994_110_rbr_w_offset.tif,129.4493408203125,388.2808837890625
2002_556,2002_556_rbr_w_offset.tif,-19.3841552734375,73.6536636352539
1988_30,1988_30_rbr_w_offset.tif,104.50039672851562,241.96908569335938
2021_2225,2021_2225_rbr_w_offset.tif,217.8413848876953,385.9562072753906
1987_101,1987_101_rbr_w_offset.tif,255.21173095703125,428.9755859375
1995_1009,1995_1009_rbr_w_offset.tif,255.48095703125,473.3941650390625
1989_964,1989_964_rbr_w_offset.tif,115.34358215332031,250.67022705078125
1991_55,1991_55_rbr_w_offset.tif,208.59397888183594,365.9527893066406
1994_20,1994_20_rbr_w_offset.tif,261.9762878417969,416.3868408203125
1992_24,1992_24_rbr_w_offset.tif,-52.11489486694336,349.4601135253906
2021_2322,2021_2322_rbr_w_offset.tif,145.17361450195312,381.61529541015625
1989_885,1989_885_rbr_w_offset.tif,-26.309938430786133,218.62628173828125
2021_1353,2021_1353_rbr_w_offset.tif,252.75669860839844,399.5307312011719
2018_403,2018_403_rbr_w_offset.tif,263.1986999511719,417.12188720703125
2021_1197,2021_1197_rbr_w_offset.tif,179.0835418701172,349.2490234375
2023_1627,2023_1627_rbr_w_offset.tif,320.4150695800781,488.3184814453125
2003_666,2003_666_rbr_w_offset.tif,415.6112365722656,561.6312866210938
1995_1410,1995_1410_rbr_w_offset.tif,164.96298217773438,456.3141784667969
1989_945,1989_945_rbr_w_offset.tif,264.2023010253906,467.53948974609375
2006_725,2006_725_rbr_w_offset.tif,245.04611206054688,362.312255859375
2017_1548,2017_1548_rbr_w_offset.tif,228.15809631347656,404.9161682128906
1996_494,1996_494_rbr_w_offset.tif,247.71658325195312,397.81793212890625
2003_1440,2003_1440_rbr_w_offset.tif,205.8247528076172,359.22723388671875
1996_671,1996_671_rbr_w_offset.tif,11.644819259643555,343.22210693359375
1996_472,1996_472_rbr_w_offset.tif,119.51289367675781,409.8117370605469
1996_575,1996_575_rbr_w_offset.tif,58.592288970947266,471.63616943359375
