GID,ecoregion,YEAR,fire_cause,size_ha,lon,lat,start_date,end_date,ecoregion_lvl,PRESCRI
2017_1677,Big Trout Lake,2017,Natural,147.532799007,-93.7476244628856,52.8785220692437,2017-07-29,2017-10-03,1,
2017_1689,Big Trout Lake,2017,Natural,562.19309721,-87.4757640520969,52.5567392729115,2017-08-08,2017-09-19,1,
2017_1726,Big Trout Lake,2017,Natural,132.016732665,-91.7105060211884,52.7138955976276,2017-08-04,2017-09-05,1,
2017_1738,Big Trout Lake,2017,Natural,230.591094085,-92.1553677205499,52.6986533045357,2017-07-30,2017-08-12,1,
2017_1770,Big Trout Lake,2017,Natural,75.1486092224,-88.2888408217774,52.4488116397974,2017-08-07,2017-09-12,1,
2017_1772,Big Trout Lake,2017,Natural,80.8401515536,-90.9608998488167,52.5762577062453,2017-08-07,2017-09-05,1,
2017_1780,Big Trout Lake,2017,Natural,59.8586445594,-90.9047084407675,52.5642902114181,2017-08-03,2017-09-05,1,
2017_1794,Big Trout Lake,2017,Natural,332.728640182,-87.9585471778769,52.3558107363679,2017-07-29,2017-09-12,1,
2017_1801,Big Trout Lake,2017,Natural,740.35652205,-88.6302649460551,52.3778937092559,2017-08-18,2017-08-28,1,
2017_1803,Big Trout Lake,2017,Natural,51.2398862432,-91.171621202982,52.5040103816766,2017-08-15,2017-09-05,1,
2017_1853,Big Trout Lake,2017,Natural,279.045874575,-92.5058144220373,52.4072110777211,2017-08-25,2017-08-28,1,
2012_1049,Big Trout Lake,2012,Natural,6.46087717603,-86.7815193782182,51.5998775193912,2012-07-12,2012-08-21,1,
2017_1964,Big Trout Lake,2017,Undetermined,225.856306426,-89.2369096301363,52.0321969022607,2017-08-26,2017-08-28,1,
1989_1004,Big Trout Lake,1989,Natural,1469.23996786,-91.682578968358,53.2717088175047,1989-07-05,1989-09-02,1,
2017_2037,Big Trout Lake,2017,Natural,1330.28449862,-89.0382636483041,51.8402449891595,2017-08-11,2017-08-13,1,
2017_2048,Big Trout Lake,2017,Natural,43.0011596356,-88.8206771179617,51.8237044770964,2017-08-10,2017-08-11,1,
1994_106,Big Trout Lake,1994,Natural,318.285232272,-92.4242305109631,53.8864274321508,1994-06-11,1994-06-30,1,
2017_2078,Big Trout Lake,2017,Natural,590.754591778,-88.8074404420082,51.7372350130693,2017-08-10,2017-08-12,1,
1994_110,Big Trout Lake,1994,Natural,247.162210928,-90.8714049408995,53.8901614875126,1994-06-11,1994-06-20,1,
2017_2115,Big Trout Lake,2017,Natural,1456.07491187,-86.082297426676,51.3785748918129,2017-07-25,2017-08-11,1,
2012_1058,Big Trout Lake,2012,Natural,199.706378848,-93.8336016577312,52.9794291881863,2012-07-14,2012-08-21,1,
2017_2128,Big Trout Lake,2017,Natural,49.9343003193,-88.433166472352,51.5544613167979,2017-08-09,2017-08-10,1,
1993_11,Big Trout Lake,1993,Natural,9580.2029606,-92.8731899829209,52.3201570609694,1993-06-19,1993-06-20,1,
2017_2252,Big Trout Lake,2017,Natural,166.976103075,-87.4380737500309,51.1439601260223,2017-07-29,2017-09-19,1,
1993_14,Big Trout Lake,1993,Natural,3050.53176861,-90.7805539448371,52.6001921759178,1993-06-19,1993-06-22,1,
2002_724,Big Trout Lake,2002,Natural,27.0075685374,-87.8381493687596,52.1258323459594,2002-07-08,2002-07-19,1,
2002_727,Big Trout Lake,2002,Natural,68.167528478,-93.3717551472533,52.7188345047832,2002-07-14,2002-07-27,1,
2002_730,Big Trout Lake,2002,Natural,83.0180532341,-88.9477641589635,53.8117584940509,2002-07-05,2002-08-15,1,
2002_731,Big Trout Lake,2002,Natural,276.099331096,-90.3544239012478,53.9150688677296,2002-07-04,2002-07-10,1,
2002_732,Big Trout Lake,2002,Natural,46.2316691636,-89.0380610791446,53.799975455763,2002-07-06,2002-08-21,1,
2002_733,Big Trout Lake,2002,Undetermined,284.0785611,-89.8299239748385,53.8532316734686,2002-06-18,2002-07-05,1,
2011_373,Big Trout Lake,2011,Natural,843.859665632,-90.9279923844939,53.3868870159569,2011-07-15,2011-07-16,1,
2002_735,Big Trout Lake,2002,Natural,63.4807174238,-88.8610416499974,54.0022285519485,2002-07-08,2002-09-08,1,
2002_737,Big Trout Lake,2002,Natural,616.599138554,-89.8954021833266,54.1429569772209,2002-07-15,2002-08-14,1,
2017_3697,Big Trout Lake,2017,Natural,47.6508156847,-88.0848252628376,51.9817548890193,2017-07-29,2017-09-12,1,
2017_3698,Big Trout Lake,2017,Natural,67.919157816,-86.9767178741394,52.3079409657897,2017-07-05,2017-09-05,1,
2017_3699,Big Trout Lake,2017,Natural,56.0232690421,-90.4744936756307,53.238824544283,2017-08-13,2017-09-18,1,
2017_3743,Big Trout Lake,2017,Natural,914.299114805,-88.0401693842013,51.7566915108665,2017-08-11,2017-08-13,1,
2016_541,Big Trout Lake,2016,Natural,45.710525025,-90.4889532601433,52.946821685812,2016-07-20,2016-08-10,1,
2016_599,Big Trout Lake,2016,Natural,148.335393365,-87.8629315818658,52.1580039373708,2016-05-23,2016-06-03,1,
2016_600,Big Trout Lake,2016,Natural,937.915003973,-88.5616676811146,52.1542863245639,2016-07-09,2016-07-10,1,
2001_354,Big Trout Lake,2001,Natural,30.1572736101,-87.8733002861818,53.5221916964964,2001-06-08,2001-06-20,1,
1992_46,Big Trout Lake,1992,Natural,30854.294124,-88.6716256352115,52.7340815218353,1992-06-12,1992-06-16,1,
2015_893,Big Trout Lake,2015,Natural,383.827655635,-91.6444484895403,54.3891336144136,2015-07-10,2015-08-14,1,
2015_914,Big Trout Lake,2015,Natural,223.203374186,-92.6625200615535,54.0946916342545,2015-07-07,2015-08-23,1,
2015_931,Big Trout Lake,2015,Natural,11201.8636164,-87.6975889770955,53.5084197689792,2015-06-21,2015-07-15,1,
2015_957,Big Trout Lake,2015,Natural,168.174128375,-90.1923225519754,53.3228412795456,2015-06-08,2015-08-14,1,
2015_961,Big Trout Lake,2015,Natural,85.7598233081,-91.9504683858914,53.3460160526516,2015-06-26,2015-07-08,1,
2015_1013,Big Trout Lake,2015,Natural,125.250752183,-90.6782211060685,52.8909865642324,2015-06-29,2015-07-26,1,
2015_1035,Big Trout Lake,2015,Natural,72.2129842004,-89.0005711780988,52.6201421713818,2015-06-28,2015-08-16,1,
2015_1036,Big Trout Lake,2015,Natural,374.518909854,-87.9633703579738,52.5467959918413,2015-07-01,2015-07-04,1,
2015_1042,Big Trout Lake,2015,Natural,2670.97626722,-93.7983714112057,52.7174414020078,2015-06-16,2015-06-27,1,
2015_1049,Big Trout Lake,2015,Natural,87.6961920229,-91.939128765694,52.6677961753932,2015-07-12,2015-07-14,1,
2015_1055,Big Trout Lake,2015,Natural,436.141779321,-91.2812715977445,52.5843202011701,2015-06-27,2015-08-13,1,
2015_1071,Big Trout Lake,2015,Natural,157.84525501,-88.0903900267503,52.2918948459959,2015-06-25,2015-07-22,1,
2015_1085,Big Trout Lake,2015,Natural,349.514464218,-88.2164433686238,52.1895776055565,2015-06-25,2015-07-22,1,
2001_377,Big Trout Lake,2001,Natural,60.8118371118,-88.0010776998543,53.4299295721162,2001-06-08,2001-08-06,1,
2001_378,Big Trout Lake,2001,Natural,83.5740363354,-90.8660130361962,53.8603016780262,2001-07-20,2001-07-31,1,
2001_379,Big Trout Lake,2001,Natural,326.763915752,-88.3147911588546,53.7914878003318,2001-07-20,2001-08-12,1,
2001_380,Big Trout Lake,2001,Natural,298.626091441,-91.3550264071656,53.9995512397803,2001-07-15,2001-08-03,1,
2001_381,Big Trout Lake,2001,Natural,27.7447937243,-91.5001474433386,54.1556403631875,2001-07-20,2001-08-13,1,
2015_1153,Big Trout Lake,2015,Undetermined,37.7016531068,-86.6652986053122,50.9330078618716,2015-07-14,2015-08-14,1,
2001_383,Big Trout Lake,2001,Natural,39.823110317,-91.9176201583145,54.2756339722953,2001-07-19,2001-08-13,1,
2001_384,Big Trout Lake,2001,Natural,78.3116093531,-91.2605387414295,54.3068630196044,2001-07-19,2001-08-13,1,
2015_1987,Big Trout Lake,2015,Natural,25.2244490068,-89.6699237302735,52.0213695109802,2015-06-26,2015-07-24,1,
2015_1988,Big Trout Lake,2015,Natural,32.4757265322,-89.2575800869765,53.7163922479603,2015-07-14,2015-07-26,1,
2015_1990,Big Trout Lake,2015,Natural,75.6369988868,-88.5605507964953,52.3994322430283,2015-06-30,2015-08-16,1,
2015_1991,Big Trout Lake,2015,Natural,37.5420053805,-86.9826635092217,53.1790076752828,2015-06-08,2015-07-23,1,
2015_1992,Big Trout Lake,2015,Natural,76.9583650206,-92.9970187773139,53.5661859658265,2015-07-14,2015-08-14,1,
2015_1993,Big Trout Lake,2015,Natural,130.349650282,-88.5833704501704,53.4372676698076,2015-06-07,2015-07-16,1,
2015_1994,Big Trout Lake,2015,Natural,111.54164827,-91.224921186475,54.4219551710252,2015-07-14,2015-08-14,1,
2014_787,Big Trout Lake,2014,Undetermined,1057.12112598,-87.7058368855395,54.0604029601943,2014-08-10,2014-08-22,1,
