GID,coniferous,wetland_treed,mixedwood,broadleaf,percent_upland,percent_wetland
1993_16,46.44953440134164,6.160907365726643,25.727084160819103,0.03530605940244495,87.85471556555895,12.145284434441061
1993_14,26.235509456985966,6.643974181946629,20.71224430814681,0.003211200667929728,89.17825374907677,10.82174625092322
1993_15,64.68433565202079,5.254908866778199,21.087435062076253,0.04226468257462358,89.5615039182883,10.43849608171172
1994_73,48.43290243660528,1.722484874533012,27.89863457532979,0.25952987073098155,97.070783879393,2.929216120607003
1994_45,45.35734452873732,7.426161891434041,37.82745329110504,0.0049102649087918214,89.7105398836267,10.289460116373276
1994_110,48.937023666265546,1.764941837144003,38.748495788206974,0.20056157240272762,96.75090252707581,3.2490974729241877
1994_36,39.76307334476573,16.669623322098044,16.521790550529243,0,77.9177261348629,22.08227386513709
1995_1041,40.54039114236122,11.52753363625308,26.64256575237969,0.05085514023857694,85.31060329673974,14.689396703260254
1995_1036,25.70899666790078,5.267184993212391,25.80772553375293,0.19252128841169935,91.78082191780823,8.219178082191782
1995_1097,35.881683731513085,9.404626469472888,36.92074326886613,0.022753128555176333,87.92946530147896,12.07053469852105
1995_1031,30.445033231543018,5.907580384408118,33.54140470630501,0.18187533680617923,92.8597089994611,7.140291000538888
1995_1032,28.30791575889615,9.106753812636168,42.97748729121278,0,89.19389978213508,10.806100217864925
1995_1079,49.09755903633616,6.657655508732871,33.49765444859664,0.1046884524661419,90.92920940340832,9.07079059659166
1995_1410,27.948094079480946,16.204379562043798,51.14355231143553,0.178426601784266,83.43876723438768,16.56123276561233
1995_1009,39.52177434227935,9.245776234654521,37.04284305313886,0.013230589122050176,86.24379565555566,13.756204344444356
1995_918,41.41616566466265,10.74848108916245,35.4645799535579,0.2194865922320831,88.56443044819795,11.435569551802015
1995_983,36.632140293303245,13.834478515024099,44.33391447031074,0,84.49389806173726,15.506101938262741
1995_968,26.799887511296657,13.233531462708084,43.137233487777785,0.05296798167417047,83.84367346604455,16.15632653395548
1995_996,29.80263564932253,11.241724927303103,45.14632184619193,0.17014168161851143,87.22390645300997,12.776093546990044
1995_967,44.027499283872814,1.632769979948439,23.05929533085076,0,98.30993984531652,1.690060154683472
1995_1412,44.89742240925828,11.870945116605297,33.95581273014203,0,79.34420480448887,20.655795195511136
1995_1092,85.46017014694507,0.15467904098994587,13.457076566125286,0,99.84532095901002,0.15467904098994587
1995_1107,38.63862835540306,12.195021727294208,23.076132849819707,0.004109180937509623,84.76315708371429,15.236842916285712
1995_948,22.790079384891907,31.14608817215038,40.48192620699985,0.15539967047780717,67.00409406360777,32.995905936392234
1995_1415,43.27251995438996,4.047890535917902,27.65108323831243,0,95.72405929304446,4.27594070695553
1995_1018,15.716630669546438,1.9179265658747304,11.500647948164149,0.42505399568034563,95.23974082073435,4.76025917926566
1995_995,63.60162573383818,7.190745822767219,20.707263695418064,0.04863306353562371,89.74537117448847,10.254628825511514
1995_1180,47.794580970384374,0.5040957781978576,20.825456836798992,0,99.08632640201638,0.9136735979836168
1995_1414,65.18022181146026,4.736598890942699,15.249537892791126,0.13863216266173753,83.20240295748613,16.797597042513864
1995_1007,50.69706052190172,4.990788352077432,27.885170621717485,0,90.41713641488161,9.582863585118377
1995_1417,57.132406730065846,4.901243599122166,28.456474030724216,0,93.12362838332115,6.87637161667886
1996_487,73.50392771653014,4.079430902531945,20.25555443174539,0.010114291493880849,94.94959711405552,5.050402885944507
1996_528,60.591564479180704,2.270583479315456,28.884247406009976,0.033688182185689246,97.04217760409648,2.957822395903517
1996_490,69.10139356078807,4.132628543969245,26.309466602594906,0,95.45891398366169,4.541086016338299
1996_464,46.158902543583885,5.987424978565304,42.10060017147757,0.16433266647613604,93.36667619319806,6.633323806801943
1996_472,56.57997043202102,5.329901987625252,30.825713190603953,0.015331544653123794,92.70492252094398,7.295077479056014
1996_575,75.46923259681635,6.533618436683297,15.71632216678546,0,92.55167498218105,7.448325017818959
1996_519,31.861724281549353,14.133000138831042,43.82896015549077,0,83.84006663890045,16.15993336109954
1996_513,59.64949548592672,5.199150292087095,32.14551248008497,0,93.24482209240574,6.755177907594264
1996_587,52.525497814473056,0.2914035939776591,16.699044843775297,0.036425449247207385,99.40100372349038,0.5989962765096326
1996_445,32.90613193839001,5.855855855855856,25.696018599244404,0.1704930737188802,91.47631502470213,8.52368497529788
1996_525,48.98991434798033,7.541432263950128,39.89863666311895,0.0780497693984086,91.22193502610105,8.778064973898939
1996_551,72.63167355743303,3.0693870213913352,21.8497213733597,0.07639762717957935,96.37111270896997,3.6288872910300194
1996_414,44.672845737358905,2.087730568046251,35.5327154262641,0.11471047077177203,95.5859410847022,4.4140589152977885
1996_568,79.39943189503585,3.4075025925424955,13.578159520266919,0,95.42134451508184,4.578655484918166
1996_569,72.68266808115635,5.974008752154887,16.96061530301021,0,92.36838615568227,7.631613844317731
1996_727,65.5838454784899,3.0728709394205445,19.637108574773194,0,87.64998536728125,12.350014632718757
1998_605,24.200514138817482,21.20822622107969,38.2159383033419,0.11311053984575836,64.0771208226221,35.922879177377894
1998_660,71.02404965089218,4.453064391000776,22.420480993017843,0.06206361520558573,94.30566330488753,5.694336695112491
1998_871,0,38.70967741935484,61.29032258064516,0,61.29032258064516,38.70967741935484
1998_899,44.58047665687236,6.611165523996084,47.551420176297746,0,92.7032321253673,7.296767874632715
1998_588,13.524760715771952,16.562630045776118,64.83562213899292,2.70495214315439,83.10445276737411,16.895547232625887
1998_867,60.26894865525673,14.91442542787286,23.4718826405868,0,83.74083129584352,16.25916870415648
1998_597,33.044286156704864,22.483741096314645,38.525859399194786,0,76.80396407556518,23.196035924434806
1998_881,12.044913235794489,36.679142565498466,25.6890098673018,0,39.775433821027555,60.22456617897244
1998_595,10.482374768089054,20.0834879406308,67.99628942486086,0.6029684601113172,79.59183673469389,20.408163265306126
1998_892,31.320224719101127,10.674157303370784,58.00561797752809,0,89.32584269662922,10.674157303370784
1998_888,1.3761467889908257,4.128440366972477,5.7339449541284395,0,94.7247706422018,5.275229357798165
1998_874,52.74342658182255,11.081762516508583,32.74102533317325,0,86.80513867210949,13.194861327890502
1998_875,63.4020618556701,2.5773195876288657,29.89690721649485,0,97.42268041237114,2.5773195876288657
1998_896,32.59779338014042,2.5075225677031097,61.68505516549649,1.7051153460381143,97.19157472417253,2.808425275827483
1998_618,42.23349473522404,14.749058488970872,37.88332949043118,2.551687034048113,85.05879640304359,14.941203596956424
1998_885,60.80960057316853,4.030091348737237,30.736163353035995,0,91.92190578542,8.078094214579973
1998_866,60.585365853658544,4.487804878048781,25.65853658536586,0,94.63414634146343,5.365853658536586
1998_870,57.11106990543296,2.354904505840904,33.61765251251622,0,95.29019098831819,4.709809011681808
1998_890,34.97242647058824,12.54595588235294,51.79227941176471,0,87.40808823529412,12.591911764705882
1998_884,76.5704584040747,4.244482173174872,19.185059422750424,0,95.75551782682513,4.244482173174872
1998_625,19.059205190592053,23.844282238442823,26.520681265206814,0.89213300892133,75.91240875912409,24.087591240875913
